area,bedrooms,bathrooms,floors,parking,location,yearBuilt,price
4310,5,4,5,Yes,Delhi,2024,41618000
1313,2,1,8,No,Bangalore,1998,9639000
4624,5,4,9,Yes,Hyderabad,2021,37576000
2532,3,3,10,No,Bangalore,2022,21079000
744,1,1,5,Yes,Hyderabad,2023,5988000
771,2,2,6,Yes,Delhi,2005,7244000
4011,4,3,1,Yes,Mumbai,2010,53266000
2271,4,4,11,Yes,Mumbai,2021,37616000
1762,2,1,12,Yes,Bangalore,2014,15052000
2924,3,2,15,No,Chennai,1995,13534000
1420,1,1,7,Yes,Hyderabad,2010,9704000
3930,5,5,4,Yes,Delhi,2013,34725000
3124,4,3,11,Yes,Chennai,2015,19774000
4260,5,4,2,Yes,Bangalore,2016,36057000
2550,4,4,5,No,Mumbai,2003,29419000
4000,5,5,12,Yes,Chennai,2003,21282000
1665,1,1,3,Yes,Hyderabad,2003,10365000
875,1,1,6,Yes,Mumbai,2021,12617000
2533,3,3,8,Yes,Mumbai,2011,32876000
645,1,1,7,No,Bangalore,2006,5212000
931,2,2,3,Yes,Pune,2019,7312000
1204,2,1,8,Yes,Pune,2007,7658000
3132,5,5,2,No,Delhi,2002,25281000
1463,2,2,10,No,Hyderabad,2010,9733000
2734,2,2,9,Yes,Hyderabad,2012,18705000
2541,2,1,4,Yes,Mumbai,2023,36249000
2328,4,4,1,Yes,Hyderabad,2021,16867000
2608,4,4,8,Yes,Delhi,1995,20149000
4568,5,5,7,No,Mumbai,1995,52236000
1438,3,3,11,Yes,Delhi,2006,13565000
1306,1,1,13,Yes,Mumbai,2000,15742000
1963,1,1,5,Yes,Bangalore,2003,14773000
3915,5,4,10,Yes,Hyderabad,2017,28024000
510,1,1,13,Yes,Bangalore,1999,4293000
2368,4,4,5,Yes,Mumbai,2021,35735000
1384,2,1,7,Yes,Delhi,2010,13025000
4064,4,3,5,Yes,Delhi,2012,35061000
1889,3,2,8,Yes,Delhi,2011,16054000
3901,4,4,11,Yes,Chennai,2012,22346000
1324,1,1,13,Yes,Bangalore,1995,9646000
2765,2,1,6,Yes,Hyderabad,2013,18476000
1436,2,1,13,Yes,Bangalore,2016,12823000
3300,4,4,5,Yes,Delhi,2023,34677000
3053,3,3,9,Yes,Bangalore,2002,22500000
4345,5,4,11,Yes,Pune,1997,24033000
2296,2,2,2,No,Mumbai,2020,32359000
553,1,1,1,No,Chennai,2019,3421000
1226,1,1,8,Yes,Chennai,2020,7801000
3236,5,4,12,Yes,Hyderabad,1999,21056000
3670,5,4,3,No,Mumbai,2017,49694000
2413,4,4,14,Yes,Mumbai,2002,29564000
2096,1,1,11,Yes,Bangalore,2013,17079000
2414,3,2,12,Yes,Bangalore,2012,20724000
2966,5,4,12,No,Delhi,2012,27671000
3237,5,5,12,Yes,Hyderabad,2015,24404000
1349,2,2,7,Yes,Mumbai,1995,16072000
2609,4,4,10,Yes,Delhi,2009,25062000
502,1,1,13,No,Hyderabad,2012,4417000
4755,5,5,11,Yes,Mumbai,2023,66271000
4569,5,4,8,Yes,Bangalore,2019,43021000
1392,1,1,15,Yes,Delhi,2001,11171000
2530,3,3,13,Yes,Hyderabad,2010,19143000
3660,4,4,13,Yes,Pune,2010,22420000
2876,4,3,6,Yes,Bangalore,2009,22898000
2433,4,3,12,No,Hyderabad,2000,15485000
1880,3,3,10,Yes,Bangalore,2003,14194000
4181,5,5,14,Yes,Bangalore,2001,30986000
1790,3,3,9,Yes,Bangalore,2008,14255000
2140,3,2,7,Yes,Mumbai,2005,25072000
3182,5,4,15,Yes,Mumbai,2015,43224000
1487,1,1,10,Yes,Hyderabad,2010,11024000
1718,1,1,5,Yes,Hyderabad,2019,12474000
1855,2,1,8,Yes,Delhi,2000,15592000
4765,5,5,15,Yes,Mumbai,2016,62053000
4635,5,5,2,No,Bangalore,2021,37911000
2060,3,2,7,No,Pune,2010,13122000
1918,2,1,15,Yes,Bangalore,2014,17350000
1454,1,1,4,Yes,Delhi,2023,14519000
1483,3,3,9,Yes,Bangalore,2010,13157000
1474,2,2,12,No,Hyderabad,2006,10641000
4633,5,5,1,Yes,Chennai,2011,26658000
4472,5,4,7,No,Bangalore,1999,31373000
1413,2,2,6,Yes,Delhi,2021,14548000
536,1,1,8,No,Bangalore,2019,5139000
3887,4,4,5,No,Mumbai,2007,45101000
2211,2,2,15,No,Pune,2002,12943000
3520,5,5,1,Yes,Hyderabad,2018,26099000
1295,1,1,1,Yes,Pune,1999,7013000
4536,5,4,9,Yes,Mumbai,2006,55439000
3611,4,4,15,Yes,Mumbai,2003,41406000
1824,3,2,10,Yes,Mumbai,1997,19769000
817,2,1,6,Yes,Pune,1997,5067000
2896,3,3,10,Yes,Hyderabad,1995,17835000
2662,4,4,5,Yes,Bangalore,2019,23176000
3245,5,4,15,Yes,Pune,2016,21243000
2091,2,1,1,Yes,Delhi,2012,17991000
3611,5,4,6,No,Hyderabad,2018,26984000
4430,5,5,6,Yes,Mumbai,2006,58027000
2496,2,2,3,Yes,Mumbai,2003,30512000
1812,1,1,13,Yes,Bangalore,2003,14338000
1785,2,2,8,No,Bangalore,2012,13913000
2883,3,3,14,Yes,Delhi,2012,26197000
3739,4,3,15,Yes,Hyderabad,2023,29875000
2639,2,1,1,Yes,Delhi,2001,19742000
2204,3,3,1,Yes,Pune,2021,14961000
862,2,2,6,Yes,Bangalore,1998,7068000
3104,3,2,10,No,Bangalore,2007,23899000
2216,4,4,13,No,Bangalore,2011,17831000
4786,5,5,1,Yes,Mumbai,2018,60847000
4238,5,4,6,Yes,Delhi,1996,34285000
2969,4,3,1,Yes,Bangalore,2008,21345000
1056,1,1,14,Yes,Mumbai,1997,12696000
1325,1,1,13,Yes,Bangalore,1999,9639000
3308,5,5,6,Yes,Bangalore,2008,27521000
3219,4,3,3,No,Hyderabad,1997,18280000
4008,4,4,14,No,Hyderabad,2017,31918000
4241,5,5,14,Yes,Hyderabad,2001,27309000
2074,2,1,15,Yes,Bangalore,2024,19381000
4498,5,4,8,Yes,Pune,2012,27431000
2629,2,2,13,Yes,Delhi,2007,22525000
2903,5,4,15,Yes,Bangalore,2023,26817000
3829,5,4,6,Yes,Hyderabad,2017,29968000
1088,2,2,13,No,Hyderabad,2021,8987000
2512,2,1,11,Yes,Bangalore,2016,21453000
2047,2,1,13,Yes,Mumbai,2004,25422000
794,1,1,1,Yes,Bangalore,2019,7325000
2485,3,2,15,Yes,Hyderabad,2007,15979000
3617,5,5,5,Yes,Hyderabad,2010,27118000
2190,4,4,8,Yes,Hyderabad,2003,14297000
1636,2,1,3,Yes,Hyderabad,1996,9811000
2564,3,2,12,Yes,Delhi,2017,25900000
1507,1,1,6,Yes,Hyderabad,1999,10027000
3014,5,5,5,No,Mumbai,2023,44879000
4026,4,3,6,Yes,Mumbai,2016,52728000
1747,1,1,10,Yes,Pune,2011,11088000
4402,5,4,1,Yes,Pune,2017,28935000
1935,3,2,7,Yes,Delhi,2016,18663000
1071,1,1,9,Yes,Hyderabad,1998,6531000
2882,3,3,2,No,Mumbai,2011,38562000
1745,1,1,10,No,Delhi,2003,14281000
2584,2,1,15,Yes,Hyderabad,2014,17764000
777,1,1,5,Yes,Mumbai,1996,8832000
2387,2,2,10,Yes,Pune,2018,16202000
1765,3,2,4,Yes,Mumbai,2012,22069000
1540,1,1,6,No,Hyderabad,2015,11100000
1417,2,1,6,Yes,Hyderabad,2021,11117000
1385,1,1,11,Yes,Bangalore,2016,12702000
3252,3,3,2,Yes,Hyderabad,2005,20977000
521,1,1,2,Yes,Delhi,2007,4713000
3691,5,5,4,No,Delhi,2002,28752000
2853,4,3,1,Yes,Hyderabad,2021,21236000
1186,1,1,9,No,Pune,1995,6318000
784,2,2,14,Yes,Bangalore,2011,7254000
4247,5,5,14,No,Hyderabad,2006,28106000
1262,1,1,13,Yes,Delhi,1998,10068000
2928,5,4,7,Yes,Delhi,2015,28021000
3007,4,4,12,No,Mumbai,2007,36782000
528,1,1,7,Yes,Pune,2023,4495000
1406,2,1,15,Yes,Delhi,2003,12078000
3604,4,3,3,Yes,Pune,2021,25636000
4499,5,4,15,Yes,Bangalore,2024,41560000
3494,4,3,11,Yes,Delhi,2001,28638000
3006,3,2,15,No,Chennai,2017,18172000
4109,4,3,12,Yes,Delhi,2018,36401000
4053,5,4,3,Yes,Hyderabad,1999,26193000
1953,3,2,1,No,Mumbai,1999,21729000
3856,5,5,3,Yes,Mumbai,2011,49992000
1015,1,1,3,No,Hyderabad,2024,7839000
538,1,1,4,No,Chennai,2003,3093000
3842,5,5,4,Yes,Hyderabad,2000,25317000
1386,1,1,3,Yes,Hyderabad,2019,9768000
3344,4,4,10,Yes,Chennai,2013,21591000
2704,3,2,12,Yes,Mumbai,2010,35634000
1598,3,2,8,No,Hyderabad,2015,11681000
2323,4,4,8,Yes,Mumbai,1996,26283000
3701,4,4,13,Yes,Mumbai,2004,40854000
3655,4,3,13,Yes,Hyderabad,2010,24199000
3593,5,4,1,No,Chennai,1999,18216000
4030,5,4,7,Yes,Mumbai,2009,51352000
4278,5,5,11,Yes,Mumbai,2007,55966000
3396,4,3,2,Yes,Mumbai,2007,45410000
3953,4,4,1,No,Mumbai,2007,48950000
4011,5,5,3,Yes,Bangalore,2009,31981000
1488,1,1,4,Yes,Bangalore,2008,11403000
4616,5,4,13,Yes,Mumbai,2002,50771000
4526,5,5,6,Yes,Pune,2005,26108000
4679,5,4,10,Yes,Hyderabad,2012,32065000
2182,4,3,14,No,Mumbai,2018,31751000
4463,5,5,5,Yes,Pune,1998,25118000
1433,2,1,15,Yes,Hyderabad,2020,11475000
4098,4,4,15,Yes,Hyderabad,2004,25897000
3733,4,4,14,Yes,Bangalore,1995,23790000
2480,2,1,4,No,Mumbai,2023,32039000
2355,2,2,8,Yes,Hyderabad,1999,13529000
3556,4,4,11,Yes,Bangalore,2007,27436000
1292,2,1,12,Yes,Mumbai,1995,15324000
1291,1,1,14,Yes,Mumbai,2017,18713000
2309,4,3,4,Yes,Bangalore,2002,18071000
2755,2,2,13,Yes,Bangalore,1997,18915000
4110,4,4,10,Yes,Delhi,1997,33343000
2107,2,1,12,Yes,Chennai,2001,10900000
1484,1,1,13,Yes,Pune,1998,8784000
4176,5,4,2,Yes,Mumbai,1997,43613000
3880,4,3,15,No,Bangalore,2009,28915000
1019,1,1,3,Yes,Bangalore,2002,8236000
1090,1,1,6,No,Hyderabad,1997,6488000
1550,2,2,8,Yes,Hyderabad,2023,12048000
4133,5,5,8,Yes,Delhi,2024,43237000
1459,1,1,15,Yes,Bangalore,2001,11562000
1192,1,1,11,Yes,Bangalore,2012,9906000
4399,5,4,15,Yes,Chennai,2005,24661000
3446,3,3,9,No,Hyderabad,2005,22136000
1026,1,1,7,Yes,Hyderabad,2011,6593000
3724,4,4,13,Yes,Hyderabad,2022,26873000
2753,3,2,2,Yes,Mumbai,2000,32941000
3844,5,5,8,Yes,Mumbai,2002,44238000
4465,5,4,7,Yes,Bangalore,1995,31142000
2375,3,3,8,Yes,Mumbai,2023,34727000
2263,3,3,12,No,Delhi,2004,20105000
1020,1,1,3,No,Pune,2022,6571000
1516,1,1,7,Yes,Chennai,2019,9738000
616,1,1,10,Yes,Pune,2013,4633000
2933,3,2,13,No,Mumbai,1997,31752000
1083,1,1,9,No,Hyderabad,1998,6452000
894,1,1,3,Yes,Hyderabad,2005,6160000
4288,5,5,14,No,Hyderabad,2009,29747000
3268,5,4,10,Yes,Delhi,1995,25457000
4667,5,5,6,No,Pune,2003,26805000
4360,5,5,2,Yes,Mumbai,2005,51876000
773,2,2,2,Yes,Hyderabad,2013,6036000
2513,2,1,5,No,Mumbai,2007,29611000
1889,3,3,5,Yes,Chennai,2020,12281000
4066,4,4,13,Yes,Mumbai,2010,53131000
665,1,1,7,Yes,Pune,1998,4295000
2067,2,1,12,No,Pune,1995,10416000
1228,2,2,2,No,Chennai,2014,7241000
2543,4,4,11,Yes,Delhi,2007,21972000
4697,5,4,14,Yes,Delhi,1995,35630000
3996,5,4,13,No,Hyderabad,1999,22859000
1278,1,1,7,Yes,Hyderabad,1999,7762000
713,1,1,5,Yes,Mumbai,2008,8863000
4262,5,4,14,Yes,Hyderabad,2021,32740000
2076,3,2,6,Yes,Chennai,2017,13121000
2948,3,2,8,Yes,Bangalore,2008,22548000
3436,3,2,10,Yes,Pune,2002,18717000
3617,4,3,13,Yes,Bangalore,1998,25268000
1091,1,1,14,No,Bangalore,2001,8025000
3220,3,2,12,Yes,Chennai,2014,20476000
1213,1,1,4,Yes,Bangalore,2013,10482000
1435,2,1,13,Yes,Bangalore,2009,11550000
501,1,1,7,Yes,Hyderabad,2016,4322000
3348,4,4,6,Yes,Delhi,1998,27474000
4544,5,4,10,No,Bangalore,2024,39223000
2449,2,1,2,Yes,Mumbai,2013,29917000
1417,3,3,15,No,Mumbai,2003,16456000
3674,5,4,8,Yes,Delhi,2015,35982000
2741,4,4,10,Yes,Delhi,2007,23991000
589,1,1,9,Yes,Mumbai,2008,8128000
2209,2,2,5,No,Bangalore,2017,17985000
2669,4,4,10,No,Pune,2022,17890000
4738,5,4,4,Yes,Bangalore,2008,35014000
3541,4,4,6,Yes,Mumbai,2016,45173000
605,1,1,8,Yes,Bangalore,2004,5319000
1386,1,1,11,Yes,Pune,2010,9452000
927,1,1,15,Yes,Bangalore,1999,7270000
2395,3,3,3,No,Bangalore,2017,18974000
816,1,1,10,No,Delhi,2021,8402000
1134,1,1,11,Yes,Mumbai,2000,14225000
2425,4,3,11,No,Hyderabad,2020,19226000
2556,3,3,1,Yes,Mumbai,1996,28439000
3644,4,3,4,Yes,Delhi,2007,30803000
2770,4,3,15,Yes,Chennai,2023,18624000
1939,3,3,4,Yes,Mumbai,2007,25749000
1052,1,1,1,No,Bangalore,2013,8690000
1215,1,1,9,Yes,Hyderabad,2012,8645000
4411,5,5,3,Yes,Pune,2022,29792000
2213,4,3,5,Yes,Pune,2013,14477000
3889,5,4,6,Yes,Hyderabad,1995,22003000
1607,1,1,8,Yes,Hyderabad,2002,10791000
4706,5,5,6,Yes,Delhi,2016,42276000
750,1,1,3,Yes,Bangalore,2010,6468000
2930,5,5,6,No,Bangalore,2023,25935000
2554,2,2,1,No,Hyderabad,1996,14380000
958,1,1,4,Yes,Bangalore,2002,7306000
707,1,1,6,No,Bangalore,2000,5406000
1399,1,1,7,Yes,Delhi,2010,12384000
3961,5,4,11,Yes,Bangalore,2017,32265000
3885,5,4,13,Yes,Bangalore,2005,29860000
521,1,1,11,Yes,Bangalore,2011,4818000
909,1,1,10,Yes,Mumbai,2017,13702000
1394,1,1,3,No,Hyderabad,2013,9387000
1014,1,1,9,Yes,Mumbai,2005,12419000
4609,5,5,12,Yes,Delhi,2022,48845000
2634,3,2,12,Yes,Hyderabad,2002,17390000
4095,4,4,7,No,Hyderabad,2016,27926000
3456,3,3,14,Yes,Hyderabad,1998,20352000
2060,3,2,1,Yes,Mumbai,2005,25722000
1766,3,2,2,Yes,Pune,2002,10538000
2669,3,2,1,Yes,Hyderabad,2003,17507000
4138,5,5,11,Yes,Chennai,2020,25734000
1249,1,1,9,No,Hyderabad,1996,7643000
3927,5,4,9,Yes,Pune,2010,22393000
2427,2,2,7,Yes,Mumbai,2000,27917000
4304,5,4,10,Yes,Delhi,2015,38789000
4202,5,4,3,No,Mumbai,2015,54546000
2856,4,4,13,Yes,Mumbai,2020,40364000
2835,4,4,15,Yes,Pune,2021,21176000
806,1,1,5,No,Delhi,2013,7082000
4165,4,3,15,Yes,Mumbai,2022,53703000
2489,3,2,4,Yes,Hyderabad,2002,15133000
1161,2,1,7,Yes,Hyderabad,2008,8615000
811,2,2,14,Yes,Pune,2018,6157000
3420,3,2,9,Yes,Mumbai,2010,42347000
1582,3,2,12,Yes,Mumbai,2006,20913000
3471,3,2,2,Yes,Delhi,1999,26996000
1254,2,2,13,Yes,Pune,2018,9666000
4630,5,5,8,Yes,Mumbai,2020,59152000
852,1,1,15,Yes,Delhi,2018,8754000
1402,1,1,9,Yes,Delhi,2013,13648000
4388,5,5,10,No,Bangalore,2012,33790000
658,1,1,14,Yes,Bangalore,2003,5891000
2477,4,3,10,No,Pune,1996,13582000
1456,3,2,9,Yes,Bangalore,2019,13634000
2571,2,2,14,Yes,Chennai,2014,16332000
903,2,1,10,Yes,Hyderabad,2006,6777000
3279,3,2,14,Yes,Hyderabad,2023,24422000
1887,2,2,7,Yes,Chennai,1996,9956000
3953,4,4,15,Yes,Mumbai,2004,46536000
1455,2,1,9,No,Bangalore,1995,10193000
2212,4,4,9,Yes,Delhi,1998,17282000
1773,2,1,14,Yes,Delhi,2019,17421000
4311,5,4,3,Yes,Mumbai,2006,55256000
3125,3,3,4,No,Hyderabad,2003,19310000
2882,5,4,2,Yes,Pune,1998,17117000
1941,1,1,10,Yes,Pune,2003,12651000
3479,3,3,3,No,Hyderabad,2022,25582000
2297,3,3,11,Yes,Pune,2000,13803000
4509,5,5,11,No,Pune,1995,24445000
1894,2,1,5,Yes,Mumbai,2004,23069000
4781,5,5,5,Yes,Delhi,2023,48445000
1769,3,3,6,No,Bangalore,2008,14040000
4214,5,5,13,Yes,Bangalore,2016,34785000
1029,2,2,7,Yes,Delhi,2019,9985000
4123,4,3,7,No,Pune,2023,27550000
3458,5,4,1,Yes,Delhi,2012,32395000
3414,5,5,14,Yes,Mumbai,2000,38764000
4091,5,4,2,Yes,Hyderabad,2012,28567000
2647,3,3,12,Yes,Hyderabad,2014,19051000
3869,5,5,9,No,Bangalore,2010,30099000
1439,1,1,10,Yes,Hyderabad,2009,9232000
1025,1,1,2,Yes,Mumbai,2010,13986000
501,1,1,6,Yes,Bangalore,2002,4353000
874,2,2,11,No,Delhi,2007,9012000
2840,4,3,11,Yes,Bangalore,2017,25625000
4505,5,5,1,Yes,Mumbai,2005,57515000
3552,5,4,3,No,Mumbai,2022,46650000
2865,3,3,2,Yes,Hyderabad,2023,20270000
2025,1,1,3,Yes,Hyderabad,2019,14638000
2146,2,1,5,Yes,Bangalore,2001,14861000
513,1,1,11,Yes,Pune,2011,3899000
2778,4,3,10,Yes,Hyderabad,2012,21795000
3655,4,3,6,Yes,Delhi,2016,35518000
629,1,1,9,No,Chennai,2017,4077000
4314,5,4,12,Yes,Delhi,2013,35517000
3716,5,4,11,Yes,Hyderabad,2019,26726000
3438,5,5,15,Yes,Chennai,2007,19673000
4428,5,5,15,No,Hyderabad,2009,29537000
2540,4,4,10,Yes,Mumbai,2017,33486000
527,1,1,12,Yes,Pune,2024,4819000
2613,3,2,12,Yes,Mumbai,2016,34432000
1752,3,2,13,Yes,Bangalore,2023,16894000
2546,2,2,4,No,Bangalore,2016,20893000
4523,5,4,7,No,Bangalore,1995,31752000
3874,5,4,6,Yes,Mumbai,2023,54905000
3966,4,4,2,Yes,Bangalore,2010,30114000
3581,5,4,10,Yes,Chennai,1999,18523000
4278,5,5,11,Yes,Chennai,2020,26598000
1129,1,1,11,Yes,Pune,1997,7116000
769,2,1,11,Yes,Bangalore,2017,7453000
3139,3,2,15,Yes,Delhi,2004,26274000
2493,2,1,15,Yes,Chennai,2013,15387000
3391,4,4,8,Yes,Pune,1999,19154000
3932,4,4,7,Yes,Bangalore,2001,29902000
1780,2,2,15,Yes,Hyderabad,2008,12334000
2860,5,4,15,Yes,Hyderabad,1997,17715000
1075,2,1,7,Yes,Mumbai,2007,13329000
1807,3,2,14,Yes,Mumbai,2007,24880000
3692,4,3,15,No,Pune,2004,21478000
3678,5,5,8,No,Bangalore,1996,24433000
3234,5,5,12,Yes,Hyderabad,2000,20965000
2712,3,3,12,Yes,Bangalore,2002,19810000
2852,4,4,13,No,Bangalore,1998,20230000
4068,5,4,14,Yes,Hyderabad,2019,30746000
2155,4,3,11,Yes,Delhi,2006,20319000
2079,2,1,1,No,Mumbai,2022,28989000
